Timestamp,Ticket,Action,Volume,Price,Realized_PnL,Reason
2026-09-22 05:03:05,2377284187,OPEN,0.01,4343.51,0.0,Momentum
2026-09-22 05:03:11,2377284803,OPEN,0.01,4343.47,0.0,Momentum
2026-09-22 05:03:11,2377284806,OPEN,0.01,4343.47,0.0,Momentum
2026-09-22 05:03:33,2377285464,OPEN,0.01,4343.37,0.0,Momentum
2026-09-22 05:03:33,2377285465,OPEN,0.01,4343.37,0.0,Momentum
2026-09-22 05:07:11,2377291255,OPEN,0.01,4343.72,0.0,Momentum
2026-09-22 05:07:11,2377291257,OPEN,0.01,4343.72,0.0,Momentum
2026-09-22 05:07:23,2377293054,OPEN,0.01,4346.38,0.0,Momentum
2026-09-22 05:07:24,2377293623,OPEN,0.01,4346.12,0.0,Momentum
2026-09-22 05:11:12,2377300487,OPEN,0.01,4346.95,0.0,Momentum
2026-09-22 05:11:13,2377300513,OPEN,0.01,4346.95,0.0,Momentum
2026-09-22 05:11:26,2377301136,OPEN,0.01,4346.99,0.0,Momentum
2026-09-22 05:11:27,2377301151,OPEN,0.01,4347.29,0.0,Momentum
2026-09-22 05:17:36,2377301136,CLOSE,0.01,4344.6,-2.39,STOP_HIT
2026-09-22 05:17:37,2377301151,CLOSE,0.01,4344.6,-2.69,STOP_HIT
2026-09-22 05:18:37,2377313017,OPEN,0.01,4343.88,0.0,Momentum
2026-09-22 05:18:37,2377313051,OPEN,0.01,4343.62,0.0,Momentum
2026-09-22 05:19:13,2377314865,OPEN,0.01,4342.33,0.0,Momentum
2026-09-22 05:19:14,2377314903,OPEN,0.01,4341.94,0.0,Momentum
2026-09-22 05:19:32,2377316512,OPEN,0.01,4340.1,0.0,Momentum
2026-09-22 05:19:33,2377316569,OPEN,0.01,4340.09,0.0,Momentum
2026-09-22 05:19:55,2377317692,OPEN,0.01,4339.43,0.0,Momentum
2026-09-22 05:19:55,2377317805,OPEN,0.01,4339.32,0.0,Momentum
2026-09-22 05:20:11,2377319854,OPEN,0.01,4339.21,0.0,Momentum
2026-09-22 05:20:51,2377322183,OPEN,0.01,4338.44,0.0,Momentum
2026-09-22 05:21:12,2377323533,OPEN,0.01,4337.03,0.0,Momentum
2026-09-22 05:21:13,2377323668,OPEN,0.01,4336.98,0.0,Momentum
2026-09-22 05:21:22,2377327010,OPEN,0.01,4335.24,0.0,Momentum
2026-09-22 05:21:22,2377327020,OPEN,0.01,4335.43,0.0,Momentum
2026-09-22 05:21:50,2377327010,CLOSE,0.01,4337.89,-2.65,STOP_HIT
